Risk ID,Business Service,Risk Statement,Threat Event,Vulnerability,Impact Description,Likelihood (1-5),Impact (1-5),Inherent Risk,Existing Controls,Control Effectiveness (1-5),Residual Risk,Risk Owner,Treatment Option,Target Date,Status,Framework Mapping,Evidence/Notes
R0161,Identity Platform,"If data exfiltration affects identity platform, then disruption could impact customers and revenue.",Data exfiltration,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,PAM enforced; SIEM detections; WAF and rate limiting,5,8,Compliance Manager,Avoid,2024-12-31,Accepted,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0162,Customer Portal,"If data exfiltration affects customer portal, then disruption could impact customers and revenue.",Data exfiltration,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,Change control; Backups tested; EDR with containment,3,2,Security Architect,Mitigate,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0163,MES,"If supply chain compromise affects mes, then disruption could impact customers and revenue.",Supply chain compromise,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,EDR with containment; PAM enforced; Network segmentation,4,12,IT Ops Manager,Transfer,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0164,MES,"If privilege escalation affects mes, then disruption could impact customers and revenue.",Privilege escalation,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,WAF and rate limiting; Change control; PAM enforced,5,21,Risk Manager,Accept,2024-12-31,Monitoring,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0165,Email,"If phishing affects email, then disruption could impact customers and revenue.",Phishing,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,SIEM detections; Backups tested; MFA,1,9,CISO,Transfer,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0166,ERP,"If privilege escalation affects erp, then disruption could impact customers and revenue.",Privilege escalation,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,PAM enforced; WAF and rate limiting; Network segmentation,2,7,Product Lead,Mitigate,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0167,MES,"If configuration drift affects mes, then disruption could impact customers and revenue.",Configuration drift,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Change control; PAM enforced; Vulnerability management,4,17,Security Architect,Transfer,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0168,Email,"If supply chain compromise affects email, then disruption could impact customers and revenue.",Supply chain compromise,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Vulnerability management; Change control; EDR with containment,3,6,Compliance Manager,Mitigate,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0169,Customer Portal,"If credential stuffing affects customer portal, then disruption could impact customers and revenue.",Credential stuffing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,Network segmentation; Change control; MFA,3,23,IT Ops Manager,Mitigate,2024-12-31,Monitoring,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0170,Network Core,"If ddos affects network core, then disruption could impact customers and revenue.",DDoS,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Vulnerability management; EDR with containment; Backups tested,2,19,Security Architect,Mitigate,2024-12-31,Open,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0171,Customer Portal,"If ddos affects customer portal, then disruption could impact customers and revenue.",DDoS,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,Network segmentation; Change control; Backups tested,1,10,SOC Manager,Transfer,2024-12-31,Closed,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0172,Email,"If data exfiltration affects email, then disruption could impact customers and revenue.",Data exfiltration,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Vulnerability management; WAF and rate limiting; PAM enforced,4,5,IT Ops Manager,Mitigate,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0173,Customer Portal,"If privilege escalation affects customer portal, then disruption could impact customers and revenue.",Privilege escalation,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,SIEM detections; Backups tested; WAF and rate limiting,3,4,SOC Manager,Accept,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0174,MES,"If ddos affects mes, then disruption could impact customers and revenue.",DDoS,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,Network segmentation; MFA; SIEM detections,3,10,Compliance Manager,Transfer,2024-12-31,Closed,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0175,Data Warehouse,"If supply chain compromise affects data warehouse, then disruption could impact customers and revenue.",Supply chain compromise,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,SIEM detections; EDR with containment; Network segmentation,4,3,SOC Manager,Transfer,2024-12-31,In Progress,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0176,Data Warehouse,"If ransomware affects data warehouse, then disruption could impact customers and revenue.",Ransomware,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,SIEM detections; PAM enforced; Vulnerability management,3,14,Product Lead,Avoid,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0177,MES,"If phishing affects mes, then disruption could impact customers and revenue.",Phishing,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,SIEM detections; WAF and rate limiting; Vulnerability management,2,3,SOC Manager,Accept,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0178,Email,"If supply chain compromise affects email, then disruption could impact customers and revenue.",Supply chain compromise,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,EDR with containment; MFA; Vulnerability management,2,8,Compliance Manager,Mitigate,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0179,ERP,"If credential stuffing affects erp, then disruption could impact customers and revenue.",Credential stuffing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,PAM enforced; WAF and rate limiting; EDR with containment,3,18,Compliance Manager,Avoid,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0180,SOC Tooling,"If credential stuffing affects soc tooling, then disruption could impact customers and revenue.",Credential stuffing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,EDR with containment; Vulnerability management; Network segmentation,4,9,CISO,Mitigate,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0181,Endpoint Fleet,"If insider misuse affects endpoint fleet, then disruption could impact customers and revenue.",Insider misuse,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,SIEM detections; PAM enforced; EDR with containment,2,5,CISO,Accept,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0182,Identity Platform,"If configuration drift affects identity platform, then disruption could impact customers and revenue.",Configuration drift,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Vulnerability management; PAM enforced; SIEM detections,4,13,Compliance Manager,Accept,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0183,ERP,"If phishing affects erp, then disruption could impact customers and revenue.",Phishing,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,MFA; Vulnerability management; PAM enforced,2,11,Security Architect,Mitigate,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0184,Identity Platform,"If insider misuse affects identity platform, then disruption could impact customers and revenue.",Insider misuse,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,PAM enforced; EDR with containment; SIEM detections,5,16,IT Ops Manager,Mitigate,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0185,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,MFA; PAM enforced; EDR with containment,2,11,Product Lead,Mitigate,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0186,SOC Tooling,"If data exfiltration affects soc tooling, then disruption could impact customers and revenue.",Data exfiltration,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,MFA; Change control; PAM enforced,2,14,IT Ops Manager,Mitigate,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0187,Email,"If credential stuffing affects email, then disruption could impact customers and revenue.",Credential stuffing,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,Network segmentation; SIEM detections; EDR with containment,3,10,IT Ops Manager,Transfer,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0188,Identity Platform,"If configuration drift affects identity platform, then disruption could impact customers and revenue.",Configuration drift,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,PAM enforced; SIEM detections; Vulnerability management,4,6,Risk Manager,Accept,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0189,Customer Portal,"If privilege escalation affects customer portal, then disruption could impact customers and revenue.",Privilege escalation,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,Network segmentation; Change control; MFA,4,17,Security Architect,Mitigate,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0190,MES,"If phishing affects mes, then disruption could impact customers and revenue.",Phishing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,Change control; Network segmentation; Vulnerability management,4,7,SOC Manager,Accept,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0191,Identity Platform,"If data exfiltration affects identity platform, then disruption could impact customers and revenue.",Data exfiltration,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,PAM enforced; Vulnerability management; Backups tested,4,9,CISO,Accept,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0192,Endpoint Fleet,"If credential stuffing affects endpoint fleet, then disruption could impact customers and revenue.",Credential stuffing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Change control; SIEM detections; PAM enforced,3,13,SOC Manager,Avoid,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0193,Network Core,"If supply chain compromise affects network core, then disruption could impact customers and revenue.",Supply chain compromise,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,WAF and rate limiting; SIEM detections; Network segmentation,2,9,Compliance Manager,Avoid,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0194,Customer Portal,"If privilege escalation affects customer portal, then disruption could impact customers and revenue.",Privilege escalation,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,EDR with containment; Network segmentation; SIEM detections,1,6,Product Lead,Mitigate,2024-12-31,Open,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0195,Endpoint Fleet,"If ransomware affects endpoint fleet, then disruption could impact customers and revenue.",Ransomware,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,SIEM detections; Change control; Network segmentation,1,6,Product Lead,Avoid,2024-12-31,Accepted,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0196,Customer Portal,"If credential stuffing affects customer portal, then disruption could impact customers and revenue.",Credential stuffing,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,WAF and rate limiting; Backups tested; Change control,1,8,IT Ops Manager,Accept,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0197,SOC Tooling,"If ransomware affects soc tooling, then disruption could impact customers and revenue.",Ransomware,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,Network segmentation; Backups tested; Change control,2,9,Security Architect,Mitigate,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0198,Network Core,"If credential stuffing affects network core, then disruption could impact customers and revenue.",Credential stuffing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,SIEM detections; MFA; Change control,5,5,Risk Manager,Accept,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0199,Data Warehouse,"If ransomware affects data warehouse, then disruption could impact customers and revenue.",Ransomware,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,PAM enforced; Change control; EDR with containment,2,9,CISO,Accept,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0200,Identity Platform,"If credential stuffing affects identity platform, then disruption could impact customers and revenue.",Credential stuffing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,EDR with containment; Backups tested; SIEM detections,2,14,Product Lead,Avoid,2024-12-31,Accepted,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0201,SOC Tooling,"If privilege escalation affects soc tooling, then disruption could impact customers and revenue.",Privilege escalation,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,EDR with containment; Backups tested; Vulnerability management,1,10,Product Lead,Mitigate,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0202,Endpoint Fleet,"If phishing affects endpoint fleet, then disruption could impact customers and revenue.",Phishing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,Change control; PAM enforced; SIEM detections,5,5,Risk Manager,Avoid,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0203,Customer Portal,"If credential stuffing affects customer portal, then disruption could impact customers and revenue.",Credential stuffing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,EDR with containment; Network segmentation; Backups tested,1,4,IT Ops Manager,Transfer,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0204,Endpoint Fleet,"If ddos affects endpoint fleet, then disruption could impact customers and revenue.",DDoS,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,Vulnerability management; MFA; PAM enforced,4,7,Product Lead,Mitigate,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0205,Data Warehouse,"If phishing affects data warehouse, then disruption could impact customers and revenue.",Phishing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,PAM enforced; MFA; Change control,3,4,IT Ops Manager,Avoid,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0206,Network Core,"If phishing affects network core, then disruption could impact customers and revenue.",Phishing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,EDR with containment; Backups tested; MFA,4,7,Product Lead,Avoid,2024-12-31,Open,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0207,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,EDR with containment; SIEM detections; Network segmentation,2,5,Product Lead,Transfer,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0208,Customer Portal,"If ddos affects customer portal, then disruption could impact customers and revenue.",DDoS,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,PAM enforced; MFA; WAF and rate limiting,4,5,Security Architect,Avoid,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0209,Data Warehouse,"If supply chain compromise affects data warehouse, then disruption could impact customers and revenue.",Supply chain compromise,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,Vulnerability management; Change control; MFA,3,8,IT Ops Manager,Transfer,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0210,Data Warehouse,"If insider misuse affects data warehouse, then disruption could impact customers and revenue.",Insider misuse,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,MFA; Change control; PAM enforced,3,10,Security Architect,Accept,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0211,SOC Tooling,"If privilege escalation affects soc tooling, then disruption could impact customers and revenue.",Privilege escalation,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Backups tested; SIEM detections; Network segmentation,2,15,Risk Manager,Accept,2024-12-31,Monitoring,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0212,Identity Platform,"If credential stuffing affects identity platform, then disruption could impact customers and revenue.",Credential stuffing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,Backups tested; MFA; Vulnerability management,3,23,Risk Manager,Transfer,2024-12-31,Closed,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0213,Customer Portal,"If ransomware affects customer portal, then disruption could impact customers and revenue.",Ransomware,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,Change control; EDR with containment; SIEM detections,2,9,Risk Manager,Accept,2024-12-31,Accepted,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0214,Customer Portal,"If configuration drift affects customer portal, then disruption could impact customers and revenue.",Configuration drift,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,Network segmentation; Backups tested; WAF and rate limiting,4,9,IT Ops Manager,Avoid,2024-12-31,Open,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0215,Identity Platform,"If configuration drift affects identity platform, then disruption could impact customers and revenue.",Configuration drift,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,Network segmentation; WAF and rate limiting; Vulnerability management,1,4,Product Lead,Mitigate,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0216,SOC Tooling,"If ddos affects soc tooling, then disruption could impact customers and revenue.",DDoS,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Change control; MFA; EDR with containment,4,5,IT Ops Manager,Transfer,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0217,SOC Tooling,"If insider misuse affects soc tooling, then disruption could impact customers and revenue.",Insider misuse,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,WAF and rate limiting; Backups tested; PAM enforced,4,5,SOC Manager,Accept,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0218,ERP,"If credential stuffing affects erp, then disruption could impact customers and revenue.",Credential stuffing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,Backups tested; PAM enforced; WAF and rate limiting,1,4,SOC Manager,Avoid,2024-12-31,Open,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0219,Customer Portal,"If credential stuffing affects customer portal, then disruption could impact customers and revenue.",Credential stuffing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Vulnerability management; Change control; EDR with containment,4,5,CISO,Accept,2024-12-31,In Progress,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0220,Data Warehouse,"If insider misuse affects data warehouse, then disruption could impact customers and revenue.",Insider misuse,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Vulnerability management; MFA; EDR with containment,3,18,CISO,Transfer,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0221,Email,"If data exfiltration affects email, then disruption could impact customers and revenue.",Data exfiltration,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,Change control; MFA; SIEM detections,5,11,IT Ops Manager,Mitigate,2024-12-31,Closed,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0222,ERP,"If privilege escalation affects erp, then disruption could impact customers and revenue.",Privilege escalation,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,SIEM detections; Vulnerability management; Backups tested,1,8,Risk Manager,Mitigate,2024-12-31,Open,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0223,SOC Tooling,"If insider misuse affects soc tooling, then disruption could impact customers and revenue.",Insider misuse,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Network segmentation; PAM enforced; Backups tested,4,17,SOC Manager,Accept,2024-12-31,In Progress,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0224,Data Warehouse,"If phishing affects data warehouse, then disruption could impact customers and revenue.",Phishing,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,MFA; WAF and rate limiting; EDR with containment,4,3,CISO,Transfer,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0225,Identity Platform,"If data exfiltration affects identity platform, then disruption could impact customers and revenue.",Data exfiltration,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,SIEM detections; MFA; WAF and rate limiting,5,2,Security Architect,Transfer,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0226,Endpoint Fleet,"If supply chain compromise affects endpoint fleet, then disruption could impact customers and revenue.",Supply chain compromise,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,WAF and rate limiting; PAM enforced; Network segmentation,3,2,Security Architect,Mitigate,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0227,Email,"If insider misuse affects email, then disruption could impact customers and revenue.",Insider misuse,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Change control; Vulnerability management; MFA,5,4,Risk Manager,Mitigate,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0228,Data Warehouse,"If ransomware affects data warehouse, then disruption could impact customers and revenue.",Ransomware,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,PAM enforced; Backups tested; MFA,3,13,SOC Manager,Accept,2024-12-31,Closed,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0229,Identity Platform,"If data exfiltration affects identity platform, then disruption could impact customers and revenue.",Data exfiltration,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,Backups tested; Network segmentation; WAF and rate limiting,3,2,Compliance Manager,Transfer,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0230,Customer Portal,"If privilege escalation affects customer portal, then disruption could impact customers and revenue.",Privilege escalation,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,Vulnerability management; Network segmentation; PAM enforced,5,4,Compliance Manager,Mitigate,2024-12-31,Monitoring,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0231,Data Warehouse,"If ransomware affects data warehouse, then disruption could impact customers and revenue.",Ransomware,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Backups tested; Change control; EDR with containment,3,14,SOC Manager,Transfer,2024-12-31,Accepted,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0232,Identity Platform,"If configuration drift affects identity platform, then disruption could impact customers and revenue.",Configuration drift,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,EDR with containment; Change control; Backups tested,5,6,IT Ops Manager,Accept,2024-12-31,Open,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0233,Customer Portal,"If privilege escalation affects customer portal, then disruption could impact customers and revenue.",Privilege escalation,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Backups tested; Vulnerability management; Change control,2,14,Risk Manager,Accept,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0234,Network Core,"If insider misuse affects network core, then disruption could impact customers and revenue.",Insider misuse,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,EDR with containment; Network segmentation; Backups tested,2,8,CISO,Accept,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0235,SOC Tooling,"If ransomware affects soc tooling, then disruption could impact customers and revenue.",Ransomware,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,Network segmentation; Vulnerability management; EDR with containment,2,9,Compliance Manager,Avoid,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0236,ERP,"If credential stuffing affects erp, then disruption could impact customers and revenue.",Credential stuffing,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Network segmentation; PAM enforced; SIEM detections,5,12,Product Lead,Mitigate,2024-12-31,Monitoring,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0237,Customer Portal,"If supply chain compromise affects customer portal, then disruption could impact customers and revenue.",Supply chain compromise,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,Network segmentation; Backups tested; MFA,3,10,Compliance Manager,Avoid,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0238,Network Core,"If privilege escalation affects network core, then disruption could impact customers and revenue.",Privilege escalation,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,MFA; PAM enforced; Network segmentation,3,23,CISO,Accept,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0239,Endpoint Fleet,"If supply chain compromise affects endpoint fleet, then disruption could impact customers and revenue.",Supply chain compromise,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,PAM enforced; SIEM detections; MFA,3,6,CISO,Mitigate,2024-12-31,Closed,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0240,SOC Tooling,"If ddos affects soc tooling, then disruption could impact customers and revenue.",DDoS,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,PAM enforced; Backups tested; Change control,3,6,SOC Manager,Mitigate,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
