Control ID,Control Description,Risk ID,Business Service,Framework Reference,Control Owner,Implementation Status,Evidence,Notes
C0278,Implement control 278 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0278,Endpoint Fleet,ISO 27001 A.12 Operations,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0279,Implement control 279 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0279,Customer Portal,ISO 27001 A.17 Business Continuity,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0280,Implement control 280 for Data Warehouse addressing NIST CSF PR.AC.,R0280,Data Warehouse,NIST CSF PR.AC,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0281,Implement control 281 for Endpoint Fleet addressing NIST CSF DE.CM.,R0281,Endpoint Fleet,NIST CSF DE.CM,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0282,Implement control 282 for Customer Portal addressing NIST CSF RS.MI.,R0282,Customer Portal,NIST CSF RS.MI,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0283,Implement control 283 for Data Warehouse addressing COBIT APO13.,R0283,Data Warehouse,COBIT APO13,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0284,Implement control 284 for Endpoint Fleet addressing COBIT DSS05.,R0284,Endpoint Fleet,COBIT DSS05,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0285,Implement control 285 for Customer Portal addressing COBIT DSS06.,R0285,Customer Portal,COBIT DSS06,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0286,Implement control 286 for Data Warehouse addressing SOC 2 CC6.,R0286,Data Warehouse,SOC 2 CC6,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0287,Implement control 287 for Endpoint Fleet addressing SOC 2 CC7.,R0287,Endpoint Fleet,SOC 2 CC7,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0288,Implement control 288 for Customer Portal addressing ISO 27001 A.5 Policies.,R0288,Customer Portal,ISO 27001 A.5 Policies,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0289,Implement control 289 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0289,Data Warehouse,ISO 27001 A.9 Access Control,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0290,Implement control 290 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0290,Endpoint Fleet,ISO 27001 A.12 Operations,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0291,Implement control 291 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0291,Customer Portal,ISO 27001 A.17 Business Continuity,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0292,Implement control 292 for Data Warehouse addressing NIST CSF PR.AC.,R0292,Data Warehouse,NIST CSF PR.AC,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0293,Implement control 293 for Endpoint Fleet addressing NIST CSF DE.CM.,R0293,Endpoint Fleet,NIST CSF DE.CM,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0294,Implement control 294 for Customer Portal addressing NIST CSF RS.MI.,R0294,Customer Portal,NIST CSF RS.MI,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0295,Implement control 295 for Data Warehouse addressing COBIT APO13.,R0295,Data Warehouse,COBIT APO13,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0296,Implement control 296 for Endpoint Fleet addressing COBIT DSS05.,R0296,Endpoint Fleet,COBIT DSS05,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0297,Implement control 297 for Customer Portal addressing COBIT DSS06.,R0297,Customer Portal,COBIT DSS06,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0298,Implement control 298 for Data Warehouse addressing SOC 2 CC6.,R0298,Data Warehouse,SOC 2 CC6,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0299,Implement control 299 for Endpoint Fleet addressing SOC 2 CC7.,R0299,Endpoint Fleet,SOC 2 CC7,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0300,Implement control 300 for Customer Portal addressing ISO 27001 A.5 Policies.,R0300,Customer Portal,ISO 27001 A.5 Policies,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0301,Implement control 301 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0301,Data Warehouse,ISO 27001 A.9 Access Control,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0302,Implement control 302 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0302,Endpoint Fleet,ISO 27001 A.12 Operations,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0303,Implement control 303 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0303,Customer Portal,ISO 27001 A.17 Business Continuity,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0304,Implement control 304 for Data Warehouse addressing NIST CSF PR.AC.,R0304,Data Warehouse,NIST CSF PR.AC,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0305,Implement control 305 for Endpoint Fleet addressing NIST CSF DE.CM.,R0305,Endpoint Fleet,NIST CSF DE.CM,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0306,Implement control 306 for Customer Portal addressing NIST CSF RS.MI.,R0306,Customer Portal,NIST CSF RS.MI,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0307,Implement control 307 for Data Warehouse addressing COBIT APO13.,R0307,Data Warehouse,COBIT APO13,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0308,Implement control 308 for Endpoint Fleet addressing COBIT DSS05.,R0308,Endpoint Fleet,COBIT DSS05,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0309,Implement control 309 for Customer Portal addressing COBIT DSS06.,R0309,Customer Portal,COBIT DSS06,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0310,Implement control 310 for Data Warehouse addressing SOC 2 CC6.,R0310,Data Warehouse,SOC 2 CC6,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0311,Implement control 311 for Endpoint Fleet addressing SOC 2 CC7.,R0311,Endpoint Fleet,SOC 2 CC7,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0312,Implement control 312 for Customer Portal addressing ISO 27001 A.5 Policies.,R0312,Customer Portal,ISO 27001 A.5 Policies,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0313,Implement control 313 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0313,Data Warehouse,ISO 27001 A.9 Access Control,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0314,Implement control 314 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0314,Endpoint Fleet,ISO 27001 A.12 Operations,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0315,Implement control 315 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0315,Customer Portal,ISO 27001 A.17 Business Continuity,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0316,Implement control 316 for Data Warehouse addressing NIST CSF PR.AC.,R0316,Data Warehouse,NIST CSF PR.AC,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0317,Implement control 317 for Endpoint Fleet addressing NIST CSF DE.CM.,R0317,Endpoint Fleet,NIST CSF DE.CM,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0318,Implement control 318 for Customer Portal addressing NIST CSF RS.MI.,R0318,Customer Portal,NIST CSF RS.MI,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0319,Implement control 319 for Data Warehouse addressing COBIT APO13.,R0319,Data Warehouse,COBIT APO13,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0320,Implement control 320 for Endpoint Fleet addressing COBIT DSS05.,R0320,Endpoint Fleet,COBIT DSS05,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0321,Implement control 321 for Customer Portal addressing COBIT DSS06.,R0321,Customer Portal,COBIT DSS06,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0322,Implement control 322 for Data Warehouse addressing SOC 2 CC6.,R0322,Data Warehouse,SOC 2 CC6,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0323,Implement control 323 for Endpoint Fleet addressing SOC 2 CC7.,R0323,Endpoint Fleet,SOC 2 CC7,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0324,Implement control 324 for Customer Portal addressing ISO 27001 A.5 Policies.,R0324,Customer Portal,ISO 27001 A.5 Policies,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0325,Implement control 325 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0325,Data Warehouse,ISO 27001 A.9 Access Control,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0326,Implement control 326 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0326,Endpoint Fleet,ISO 27001 A.12 Operations,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0327,Implement control 327 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0327,Customer Portal,ISO 27001 A.17 Business Continuity,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0328,Implement control 328 for Data Warehouse addressing NIST CSF PR.AC.,R0328,Data Warehouse,NIST CSF PR.AC,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0329,Implement control 329 for Endpoint Fleet addressing NIST CSF DE.CM.,R0329,Endpoint Fleet,NIST CSF DE.CM,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0330,Implement control 330 for Customer Portal addressing NIST CSF RS.MI.,R0330,Customer Portal,NIST CSF RS.MI,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0331,Implement control 331 for Data Warehouse addressing COBIT APO13.,R0331,Data Warehouse,COBIT APO13,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0332,Implement control 332 for Endpoint Fleet addressing COBIT DSS05.,R0332,Endpoint Fleet,COBIT DSS05,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0333,Implement control 333 for Customer Portal addressing COBIT DSS06.,R0333,Customer Portal,COBIT DSS06,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0334,Implement control 334 for Data Warehouse addressing SOC 2 CC6.,R0334,Data Warehouse,SOC 2 CC6,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0335,Implement control 335 for Endpoint Fleet addressing SOC 2 CC7.,R0335,Endpoint Fleet,SOC 2 CC7,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0336,Implement control 336 for Customer Portal addressing ISO 27001 A.5 Policies.,R0336,Customer Portal,ISO 27001 A.5 Policies,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0337,Implement control 337 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0337,Data Warehouse,ISO 27001 A.9 Access Control,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0338,Implement control 338 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0338,Endpoint Fleet,ISO 27001 A.12 Operations,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0339,Implement control 339 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0339,Customer Portal,ISO 27001 A.17 Business Continuity,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0340,Implement control 340 for Data Warehouse addressing NIST CSF PR.AC.,R0340,Data Warehouse,NIST CSF PR.AC,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0341,Implement control 341 for Endpoint Fleet addressing NIST CSF DE.CM.,R0341,Endpoint Fleet,NIST CSF DE.CM,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0342,Implement control 342 for Customer Portal addressing NIST CSF RS.MI.,R0342,Customer Portal,NIST CSF RS.MI,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0343,Implement control 343 for Data Warehouse addressing COBIT APO13.,R0343,Data Warehouse,COBIT APO13,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0344,Implement control 344 for Endpoint Fleet addressing COBIT DSS05.,R0344,Endpoint Fleet,COBIT DSS05,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0345,Implement control 345 for Customer Portal addressing COBIT DSS06.,R0345,Customer Portal,COBIT DSS06,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0346,Implement control 346 for Data Warehouse addressing SOC 2 CC6.,R0346,Data Warehouse,SOC 2 CC6,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0347,Implement control 347 for Endpoint Fleet addressing SOC 2 CC7.,R0347,Endpoint Fleet,SOC 2 CC7,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0348,Implement control 348 for Customer Portal addressing ISO 27001 A.5 Policies.,R0348,Customer Portal,ISO 27001 A.5 Policies,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0349,Implement control 349 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0349,Data Warehouse,ISO 27001 A.9 Access Control,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0350,Implement control 350 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0350,Endpoint Fleet,ISO 27001 A.12 Operations,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0351,Implement control 351 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0351,Customer Portal,ISO 27001 A.17 Business Continuity,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0352,Implement control 352 for Data Warehouse addressing NIST CSF PR.AC.,R0352,Data Warehouse,NIST CSF PR.AC,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0353,Implement control 353 for Endpoint Fleet addressing NIST CSF DE.CM.,R0353,Endpoint Fleet,NIST CSF DE.CM,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0354,Implement control 354 for Customer Portal addressing NIST CSF RS.MI.,R0354,Customer Portal,NIST CSF RS.MI,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0355,Implement control 355 for Data Warehouse addressing COBIT APO13.,R0355,Data Warehouse,COBIT APO13,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0356,Implement control 356 for Endpoint Fleet addressing COBIT DSS05.,R0356,Endpoint Fleet,COBIT DSS05,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0357,Implement control 357 for Customer Portal addressing COBIT DSS06.,R0357,Customer Portal,COBIT DSS06,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0358,Implement control 358 for Data Warehouse addressing SOC 2 CC6.,R0358,Data Warehouse,SOC 2 CC6,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0359,Implement control 359 for Endpoint Fleet addressing SOC 2 CC7.,R0359,Endpoint Fleet,SOC 2 CC7,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0360,Implement control 360 for Customer Portal addressing ISO 27001 A.5 Policies.,R0360,Customer Portal,ISO 27001 A.5 Policies,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0361,Implement control 361 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0361,Data Warehouse,ISO 27001 A.9 Access Control,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0362,Implement control 362 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0362,Endpoint Fleet,ISO 27001 A.12 Operations,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0363,Implement control 363 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0363,Customer Portal,ISO 27001 A.17 Business Continuity,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0364,Implement control 364 for Data Warehouse addressing NIST CSF PR.AC.,R0364,Data Warehouse,NIST CSF PR.AC,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0365,Implement control 365 for Endpoint Fleet addressing NIST CSF DE.CM.,R0365,Endpoint Fleet,NIST CSF DE.CM,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0366,Implement control 366 for Customer Portal addressing NIST CSF RS.MI.,R0366,Customer Portal,NIST CSF RS.MI,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0367,Implement control 367 for Data Warehouse addressing COBIT APO13.,R0367,Data Warehouse,COBIT APO13,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0368,Implement control 368 for Endpoint Fleet addressing COBIT DSS05.,R0368,Endpoint Fleet,COBIT DSS05,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0369,Implement control 369 for Customer Portal addressing COBIT DSS06.,R0369,Customer Portal,COBIT DSS06,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0370,Implement control 370 for Data Warehouse addressing SOC 2 CC6.,R0370,Data Warehouse,SOC 2 CC6,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0371,Implement control 371 for Endpoint Fleet addressing SOC 2 CC7.,R0371,Endpoint Fleet,SOC 2 CC7,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0372,Implement control 372 for Customer Portal addressing ISO 27001 A.5 Policies.,R0372,Customer Portal,ISO 27001 A.5 Policies,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0373,Implement control 373 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0373,Data Warehouse,ISO 27001 A.9 Access Control,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0374,Implement control 374 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0374,Endpoint Fleet,ISO 27001 A.12 Operations,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0375,Implement control 375 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0375,Customer Portal,ISO 27001 A.17 Business Continuity,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0376,Implement control 376 for Data Warehouse addressing NIST CSF PR.AC.,R0376,Data Warehouse,NIST CSF PR.AC,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0377,Implement control 377 for Endpoint Fleet addressing NIST CSF DE.CM.,R0377,Endpoint Fleet,NIST CSF DE.CM,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0378,Implement control 378 for Customer Portal addressing NIST CSF RS.MI.,R0378,Customer Portal,NIST CSF RS.MI,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0379,Implement control 379 for Data Warehouse addressing COBIT APO13.,R0379,Data Warehouse,COBIT APO13,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0380,Implement control 380 for Endpoint Fleet addressing COBIT DSS05.,R0380,Endpoint Fleet,COBIT DSS05,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0381,Implement control 381 for Customer Portal addressing COBIT DSS06.,R0381,Customer Portal,COBIT DSS06,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0382,Implement control 382 for Data Warehouse addressing SOC 2 CC6.,R0382,Data Warehouse,SOC 2 CC6,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0383,Implement control 383 for Endpoint Fleet addressing SOC 2 CC7.,R0383,Endpoint Fleet,SOC 2 CC7,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0384,Implement control 384 for Customer Portal addressing ISO 27001 A.5 Policies.,R0384,Customer Portal,ISO 27001 A.5 Policies,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0385,Implement control 385 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0385,Data Warehouse,ISO 27001 A.9 Access Control,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0386,Implement control 386 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0386,Endpoint Fleet,ISO 27001 A.12 Operations,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0387,Implement control 387 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0387,Customer Portal,ISO 27001 A.17 Business Continuity,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0388,Implement control 388 for Data Warehouse addressing NIST CSF PR.AC.,R0388,Data Warehouse,NIST CSF PR.AC,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0389,Implement control 389 for Endpoint Fleet addressing NIST CSF DE.CM.,R0389,Endpoint Fleet,NIST CSF DE.CM,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0390,Implement control 390 for Customer Portal addressing NIST CSF RS.MI.,R0390,Customer Portal,NIST CSF RS.MI,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0391,Implement control 391 for Data Warehouse addressing COBIT APO13.,R0391,Data Warehouse,COBIT APO13,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0392,Implement control 392 for Endpoint Fleet addressing COBIT DSS05.,R0392,Endpoint Fleet,COBIT DSS05,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0393,Implement control 393 for Customer Portal addressing COBIT DSS06.,R0393,Customer Portal,COBIT DSS06,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0394,Implement control 394 for Data Warehouse addressing SOC 2 CC6.,R0394,Data Warehouse,SOC 2 CC6,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0395,Implement control 395 for Endpoint Fleet addressing SOC 2 CC7.,R0395,Endpoint Fleet,SOC 2 CC7,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0396,Implement control 396 for Customer Portal addressing ISO 27001 A.5 Policies.,R0396,Customer Portal,ISO 27001 A.5 Policies,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0397,Implement control 397 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0397,Data Warehouse,ISO 27001 A.9 Access Control,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0398,Implement control 398 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0398,Endpoint Fleet,ISO 27001 A.12 Operations,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0399,Implement control 399 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0399,Customer Portal,ISO 27001 A.17 Business Continuity,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0400,Implement control 400 for Data Warehouse addressing NIST CSF PR.AC.,R0400,Data Warehouse,NIST CSF PR.AC,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0401,Implement control 401 for Endpoint Fleet addressing NIST CSF DE.CM.,R0001,Endpoint Fleet,NIST CSF DE.CM,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0402,Implement control 402 for Customer Portal addressing NIST CSF RS.MI.,R0002,Customer Portal,NIST CSF RS.MI,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0403,Implement control 403 for Data Warehouse addressing COBIT APO13.,R0003,Data Warehouse,COBIT APO13,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0404,Implement control 404 for Endpoint Fleet addressing COBIT DSS05.,R0004,Endpoint Fleet,COBIT DSS05,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0405,Implement control 405 for Customer Portal addressing COBIT DSS06.,R0005,Customer Portal,COBIT DSS06,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0406,Implement control 406 for Data Warehouse addressing SOC 2 CC6.,R0006,Data Warehouse,SOC 2 CC6,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0407,Implement control 407 for Endpoint Fleet addressing SOC 2 CC7.,R0007,Endpoint Fleet,SOC 2 CC7,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0408,Implement control 408 for Customer Portal addressing ISO 27001 A.5 Policies.,R0008,Customer Portal,ISO 27001 A.5 Policies,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0409,Implement control 409 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0009,Data Warehouse,ISO 27001 A.9 Access Control,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0410,Implement control 410 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0010,Endpoint Fleet,ISO 27001 A.12 Operations,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0411,Implement control 411 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0011,Customer Portal,ISO 27001 A.17 Business Continuity,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0412,Implement control 412 for Data Warehouse addressing NIST CSF PR.AC.,R0012,Data Warehouse,NIST CSF PR.AC,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0413,Implement control 413 for Endpoint Fleet addressing NIST CSF DE.CM.,R0013,Endpoint Fleet,NIST CSF DE.CM,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0414,Implement control 414 for Customer Portal addressing NIST CSF RS.MI.,R0014,Customer Portal,NIST CSF RS.MI,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0415,Implement control 415 for Data Warehouse addressing COBIT APO13.,R0015,Data Warehouse,COBIT APO13,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
